Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-04 15:41:58 | WARD_A_HR_01 | 61 | NORMAL
2026-06-04 15:41:58 | WARD_A_HR_02 | 62 | NORMAL
2026-06-04 15:41:58 | WARD_A_HR_03 | 125 | CRITICAL
2026-06-04 15:41:58 | WARD_A_HR_04 | 85 | NORMAL
2026-06-04 15:41:58 | WARD_A_HR_05 | 88 | NORMAL
2026-06-04 15:41:59 | WARD_A_HR_01 | 118 | CRITICAL
2026-06-04 15:41:59 | WARD_A_HR_02 | 51 | CRITICAL
2026-06-04 15:41:59 | WARD_A_HR_03 | 47 | CRITICAL
2026-06-04 15:41:59 | WARD_A_HR_04 | 60 | NORMAL
2026-06-04 15:41:59 | WARD_A_HR_05 | 93 | WARNING
2026-06-04 15:42:00 | WARD_A_HR_01 | 86 | NORMAL
2026-06-04 15:42:00 | WARD_A_HR_02 | 51 | CRITICAL
2026-06-04 15:42:00 | WARD_A_HR_03 | 57 | CRITICAL
2026-06-04 15:42:00 | WARD_A_HR_04 | 92 | WARNING
2026-06-04 15:42:00 | WARD_A_HR_05 | 69 | NORMAL
2026-06-04 15:42:01 | WARD_A_HR_01 | 76 | NORMAL
2026-06-04 15:42:01 | WARD_A_HR_02 | 78 | NORMAL
2026-06-04 15:42:01 | WARD_A_HR_03 | 112 | CRITICAL
2026-06-04 15:42:01 | WARD_A_HR_04 | 90 | WARNING
2026-06-04 15:42:01 | WARD_A_HR_05 | 134 | CRITICAL
2026-06-04 15:42:02 | WARD_A_HR_01 | 67 | NORMAL
2026-06-04 15:42:02 | WARD_A_HR_02 | 131 | CRITICAL
2026-06-04 15:42:02 | WARD_A_HR_03 | 108 | CRITICAL
2026-06-04 15:42:02 | WARD_A_HR_04 | 57 | CRITICAL
2026-06-04 15:42:02 | WARD_A_HR_05 | 85 | NORMAL
2026-06-04 15:42:03 | WARD_A_HR_01 | 109 | CRITICAL
2026-06-04 15:42:03 | WARD_A_HR_02 | 127 | CRITICAL
2026-06-04 15:42:03 | WARD_A_HR_03 | 145 | CRITICAL
2026-06-04 15:42:03 | WARD_A_HR_04 | 111 | CRITICAL
2026-06-04 15:42:03 | WARD_A_HR_05 | 92 | WARNING
2026-06-04 15:42:04 | WARD_A_HR_01 | 129 | CRITICAL
2026-06-04 15:42:04 | WARD_A_HR_02 | 85 | NORMAL
2026-06-04 15:42:04 | WARD_A_HR_03 | 95 | WARNING
2026-06-04 15:42:04 | WARD_A_HR_04 | 105 | CRITICAL
2026-06-04 15:42:04 | WARD_A_HR_05 | 145 | CRITICAL
2026-06-04 15:42:05 | WARD_A_HR_01 | 137 | CRITICAL
2026-06-04 15:42:05 | WARD_A_HR_02 | 112 | CRITICAL
2026-06-04 15:42:05 | WARD_A_HR_03 | 84 | NORMAL
2026-06-04 15:42:05 | WARD_A_HR_04 | 139 | CRITICAL
2026-06-04 15:42:05 | WARD_A_HR_05 | 51 | CRITICAL
2026-06-04 15:42:06 | WARD_A_HR_01 | 108 | CRITICAL
2026-06-04 15:42:06 | WARD_A_HR_02 | 95 | WARNING
2026-06-04 15:42:06 | WARD_A_HR_03 | 127 | CRITICAL
2026-06-04 15:42:06 | WARD_A_HR_04 | 136 | CRITICAL
2026-06-04 15:42:06 | WARD_A_HR_05 | 128 | CRITICAL
2026-06-04 15:42:07 | WARD_A_HR_01 | 53 | CRITICAL
2026-06-04 15:42:07 | WARD_A_HR_02 | 92 | WARNING
2026-06-04 15:42:07 | WARD_A_HR_03 | 135 | CRITICAL
2026-06-04 15:42:07 | WARD_A_HR_04 | 66 | NORMAL
2026-06-04 15:42:07 | WARD_A_HR_05 | 133 | CRITICAL
2026-06-04 15:42:08 | WARD_A_HR_01 | 48 | CRITICAL
2026-06-04 15:42:08 | WARD_A_HR_02 | 86 | NORMAL
2026-06-04 15:42:08 | WARD_A_HR_03 | 83 | NORMAL
2026-06-04 15:42:08 | WARD_A_HR_04 | 53 | CRITICAL
2026-06-04 15:42:08 | WARD_A_HR_05 | 101 | CRITICAL
2026-06-04 15:42:09 | WARD_A_HR_01 | 111 | CRITICAL
2026-06-04 15:42:09 | WARD_A_HR_02 | 67 | NORMAL
2026-06-04 15:42:09 | WARD_A_HR_03 | 132 | CRITICAL
2026-06-04 15:42:09 | WARD_A_HR_04 | 104 | CRITICAL
2026-06-04 15:42:09 | WARD_A_HR_05 | 108 | CRITICAL
2026-06-04 15:42:10 | WARD_A_HR_01 | 97 | WARNING
2026-06-04 15:42:10 | WARD_A_HR_02 | 97 | WARNING
2026-06-04 15:42:10 | WARD_A_HR_03 | 60 | NORMAL
2026-06-04 15:42:10 | WARD_A_HR_04 | 146 | CRITICAL
2026-06-04 15:42:10 | WARD_A_HR_05 | 52 | CRITICAL
2026-06-04 15:42:11 | WARD_A_HR_01 | 105 | CRITICAL
2026-06-04 15:42:11 | WARD_A_HR_02 | 122 | CRITICAL
2026-06-04 15:42:11 | WARD_A_HR_03 | 131 | CRITICAL
2026-06-04 15:42:11 | WARD_A_HR_04 | 103 | CRITICAL
2026-06-04 15:42:11 | WARD_A_HR_05 | 104 | CRITICAL
2026-06-04 15:42:12 | WARD_A_HR_01 | 122 | CRITICAL
2026-06-04 15:42:12 | WARD_A_HR_02 | 138 | CRITICAL
2026-06-04 15:42:12 | WARD_A_HR_03 | 139 | CRITICAL
2026-06-04 15:42:12 | WARD_A_HR_04 | 56 | CRITICAL
2026-06-04 15:42:12 | WARD_A_HR_05 | 144 | CRITICAL
2026-06-04 15:42:13 | WARD_A_HR_01 | 74 | NORMAL
2026-06-04 15:42:13 | WARD_A_HR_02 | 95 | WARNING
2026-06-04 15:42:13 | WARD_A_HR_03 | 142 | CRITICAL
2026-06-04 15:42:13 | WARD_A_HR_04 | 137 | CRITICAL
2026-06-04 15:42:13 | WARD_A_HR_05 | 51 | CRITICAL
2026-06-04 15:42:14 | WARD_A_HR_01 | 60 | NORMAL
