Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-04 15:41:58 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-04 15:41:58 | ICU_WATER_RESERVE | 7 | NORMAL
2026-06-04 15:41:59 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-04 15:41:59 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 15:42:00 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-06-04 15:42:00 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-04 15:42:01 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-06-04 15:42:01 | ICU_WATER_RESERVE | 26 | NORMAL
2026-06-04 15:42:02 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-06-04 15:42:02 | ICU_WATER_RESERVE | 13 | NORMAL
2026-06-04 15:42:03 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-04 15:42:03 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-04 15:42:04 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-04 15:42:04 | ICU_WATER_RESERVE | 7 | NORMAL
2026-06-04 15:42:05 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 15:42:05 | ICU_WATER_RESERVE | 17 | NORMAL
2026-06-04 15:42:06 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-04 15:42:06 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 15:42:07 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-04 15:42:07 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 15:42:08 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-06-04 15:42:08 | ICU_WATER_RESERVE | 14 | NORMAL
2026-06-04 15:42:09 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-04 15:42:09 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-04 15:42:10 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-04 15:42:10 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-04 15:42:11 | FACILITY_WATER_MAIN | 5 | NORMAL
2026-06-04 15:42:11 | ICU_WATER_RESERVE | 13 | NORMAL
2026-06-04 15:42:12 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-06-04 15:42:12 | ICU_WATER_RESERVE | 24 | NORMAL
2026-06-04 15:42:13 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-06-04 15:42:13 | ICU_WATER_RESERVE | 6 | NORMAL
2026-06-04 15:42:14 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-06-04 15:42:14 | ICU_WATER_RESERVE | 25 | NORMAL
2026-06-04 15:42:15 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-04 15:42:15 | ICU_WATER_RESERVE | 18 | NORMAL
2026-06-04 15:42:16 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-06-04 15:42:16 | ICU_WATER_RESERVE | 29 | NORMAL
2026-06-04 15:42:17 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-04 15:42:17 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-04 15:42:18 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-06-04 15:42:18 | ICU_WATER_RESERVE | 15 | NORMAL
2026-06-04 15:42:19 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
